rule_id,dimension,stratum,n_stratum,n_rule_group,n_comparison_group,severe_rate_rule,severe_rate_comparison,observed_rate_difference,model_risk_rule,model_risk_comparison,model_risk_difference,eligible_main_stratum
R09,Accident_Year,2022,2380,224,2156,0.08035714285714286,0.0686456400742115,0.011711502782931357,0.1506751094023082,0.1349420434754705,0.01573306592683768,False
R09,Accident_Year,2023,433,14,419,0.0,0.002386634844868735,-0.002386634844868735,0.15535967495674047,0.1192710710971178,0.03608860385962266,False
R10,Source,Source1,9146,566,8580,0.06713780918727916,0.04324009324009324,0.02389771594718592,0.18957349452061933,0.13774422268353972,0.05182927183707961,True
R10,Source,Source2,6481,356,6125,0.5196629213483146,0.3443265306122449,0.1753363907360697,0.25540799266018743,0.22577200463724273,0.029635988022944704,True
R10,Source,Source3,373,24,349,0.4583333333333333,0.32951289398280803,0.12882043935052528,0.18932712038191712,0.15144507547050007,0.03788204491141706,False
R10,State,CA,11965,814,11151,0.22358722358722358,0.15765402206080173,0.06593320152642185,0.21442408763225207,0.16893326882285042,0.045490818809401645,True
R10,State,TX,4035,132,3903,0.3939393939393939,0.21445042275172943,0.1794889711876645,0.21383702153189485,0.18800369196092298,0.02583332957097187,True
R10,Accident_Year,2016,1328,108,1220,0.37962962962962965,0.34508196721311474,0.03454766241651491,0.3223892232089762,0.29291580314128274,0.02947342006769349,False
R10,Accident_Year,2017,1659,115,1544,0.3739130434782609,0.36075129533678757,0.013161748141473306,0.30201745367127,0.27715626987257597,0.02486118379869401,False
R10,Accident_Year,2018,1621,129,1492,0.4263565891472868,0.353887399463807,0.07246918968347982,0.30972826707303114,0.281754141227214,0.027974125845817155,False
R10,Accident_Year,2019,1954,131,1823,0.2824427480916031,0.21393307734503567,0.06850967074656741,0.1938702282010787,0.1690251724004073,0.024845055800671395,False
R10,Accident_Year,2020,2447,144,2303,0.24305555555555555,0.12114633087277464,0.12190922468278091,0.15278140147857885,0.12559567778098404,0.02718572369759481,False
R10,Accident_Year,2021,2784,121,2663,0.1322314049586777,0.09350356740518212,0.03872783755349557,0.15727078422442548,0.13253456647953957,0.024736217744885908,False
R10,Accident_Year,2022,2380,120,2260,0.058333333333333334,0.07035398230088495,-0.012020648967551617,0.1507068511526097,0.135664357566778,0.015042493585831707,False
R10,Accident_Year,2023,433,17,416,0.0,0.002403846153846154,-0.002403846153846154,0.13360386282982742,0.11989987637254727,0.013703986457280146,False
R10,Accident_Year,Unknown,1394,61,1333,0.0,0.008252063015753939,-0.008252063015753939,0.1062185252269575,0.078837560928733,0.02738096429822451,False
